"Repository","RepositoryPath","StatusCode","Path"
"rpi5-homeassistant-suite","E:\GIT\rpi5-homeassistant-suite","A ",".github/workflows/ci.yml"
"rpi5-homeassistant-suite","E:\GIT\rpi5-homeassistant-suite","??","INSTALLATION_GUIDE.md"
"starcore-autonomous-engineering-249437","E:\GIT\starcore-platform\.claude\worktrees\starcore-autonomous-engineering-249437","M ",".vscode/launch.json"
"starcore-autonomous-engineering-249437","E:\GIT\starcore-platform\.claude\worktrees\starcore-autonomous-engineering-249437","M ",".vscode/settings.json"
"SuperNastroj_v5","E:\GIT\SuperNastroj_v5","??","SuperNastroj_Linux.sh"
