"FullName","Name","LastWriteTime"
"E:\GIT\AI-PROJECT-ANALYZER","AI-PROJECT-ANALYZER","04.12.2025 16:01:36"
"E:\GIT\Genesis Aeterna","Genesis Aeterna","18.04.2026 0:58:06"
"E:\GIT\MD_installer","MD_installer","07.12.2025 10:17:48"
"E:\GIT\rpi5-homeassistant-suite","rpi5-homeassistant-suite","04.12.2025 16:01:38"
"E:\GIT\starcore-platform","starcore-platform","11.07.2026 5:25:23"
"E:\GIT\SuperNastroj_v5","SuperNastroj_v5","06.12.2025 10:15:06"
"E:\GIT\universal-ai-codespace","universal-ai-codespace","04.12.2025 16:01:38"
"E:\GIT\VScode\RPI5\twisteros_supermanager","twisteros_supermanager","04.12.2025 15:58:20"
"E:\GIT\starcore-platform\.claude\worktrees\starcore-autonomous-engineering-249437","starcore-autonomous-engineering-249437","26.07.2026 20:29:54"
